source,target,description,text_unit_ids,weight
BELLY,HOLDS,"['The belly holds and processes food and drink, but cannot contain air and fire due to their smaller particles']",['4'],5.0
INSPIRATION,NAMED,['The process of inspiration and expiration is named as a way to maintain balance and nourishment'],['4'],8.0
RESPIRATION,AIR,['Air plays a crucial role in respiration and the distribution of nutrients throughout the body'],['4'],8.0
CUPPING-GLASSES,USED,['Medical cupping-glasses are used in a similar principle to respiration to treat various ailments'],['4'],6.0
SOUNDS,PRODUCED,"['Sounds, both swift and slow, high and low, are produced by various motions and vibrations in the body']",['4'],7.0
WATER-FLOW,REGULATED,['The flowing of water in the body is regulated by various processes to maintain balance and nourishment'],['4'],8.0
THUNDERBOLT,EXPLAINED,['The fall of the thunderbolt is explained by the interaction of various elements and their motions'],['4'],7.0
ATTRACTION,EXPLAINED,['Various phenomena like the attraction of amber and stones are explained by the combination of conditions and motions'],['4'],8.0
DISEASES,ARISE,"[""Diseases arise from imbalances and irregularities in the body's elements and their interactions""]",['4'],9.0
BLOOD,NOURISHES,['Blood is a vital liquid that nourishes the body and fills empty spaces'],['4'],7.0
FLESH,COMPOSED,['Flesh is composed of various elements and plays a role in nourishing the body'],['4'],6.0
BONE,SUPPORTS,"['Bones provide structure and support to the body, and are nourished by various substances']",['4'],8.0
MUSCLES,ESSENTIAL,['Muscles are essential for movement and are nourished by various substances'],['4'],7.0
MIND,AFFECTED,"[""The mind is affected by the body's condition and can experience diseases due to imbalances""]",['4'],6.0
SOUL,INFLUENCED,"[""The soul is influenced by the body's health and can experience diseases and disorders""]",['4'],7.0
WOMEN,CREATED,"['Women were created from men who led unrighteous lives, transforming into a different nature']",['4'],8.0
BIRDS,CREATED,['Birds were created from men who were light-minded and focused on sight as a means of understanding the heavens'],['4'],7.0
ANIMALS,CREATED,['Wild pedestrian animals were created from those who lacked philosophy and did not consider the nature of the heavens'],['4'],8.0
WATER-INHABITANTS,CREATED,"['Water inhabitants were created from those who were entirely senseless and impure, given the sea as their element']",['4'],1.0
ARISE,INFLAMMATION,"['Inflammation can arise from burnings and inflamings in the body, causing swelling and discomfort']",['4'],7.0
PHLEGM,MIXED,['Phlegm can cause diseases when imbalanced or mixed with other substances'],['4'],7.0
PHYSICIAN,TREATS,['Physicians play a role in treating diseases and disorders in the body'],['4'],6.0
MOTION,CONTRIBUTE,['Various motions within the body contribute to the overall health and functioning of the body'],['4'],8.0
HEAT,AFFECTS,"[""Heat naturally moves outward to its own place and kindred element, affecting the body's temperature""]",['4'],7.0
FEVER,CAUSED,"['Fever can be caused by excess of fire, air, water, or earth in the body, leading to various symptoms']",['4'],8.0
RHEUMS,OBSTRUCT,['Rheums can obstruct the lung and cause various respiratory issues in the body'],['4'],6.0
LEPROUS ERUPTIONS,CAUSED,['Leprous eruptions can be caused by the mingling of phlegm with other substances in the body'],['4'],7.0
CATARRH,DISEASE,['Catarrh is a disease caused by an excess of acid and salt phlegm in the body'],['4'],8.0
MUSICAL,CONTRIBUTE,['Music and philosophy can contribute to the overall health and balance of the body and soul'],['4'],7.0
GOD,CREATOR,['God is mentioned as the creator and designer of the human body and soul'],['4'],1.0
TRANSFORMERS,FISHES,['The transformers created fishes as aquatic animals'],['5'],7.0
TRANSFORMERS,OYSTERS,['The transformers created oysters as aquatic animals'],['5'],7.0
TRANSFORMERS,WATER,['The transformers gave water as the element for the inhabitants of the water'],['5'],8.0
TRANSFORMERS,EARTH,['The transformers created beings to inhabit the Earth'],['5'],6.0
TRANSFORMERS,UNIVERSE,['The universe is where the transformers created animals'],['5'],7.0
THEAETETUS,PLOTINUS,['Theaetetus and Plotinus are mentioned in the text'],['5'],1.0
VISIBLE ANIMAL,UNIVERSE,['The visible animal exists within the universe filled with animals'],['5'],6.0
SENSIBLE GOD,INTELLECTUAL,['The sensible God is the image of the intellectual being'],['5'],1.0
